year,season,s1st,s2nd,s3rd,streak,odds,1m1st,1m2nd,1m3rd,2m1st,2m2nd,2m3rd
2012,Autumn,50,30,,10,10,,,,,,
2013,Spring,50,25,15,5,5,,,,,,
2013,Autumn,50,25,15,5,5,,,,,,
2013,Winter,50,25,15,5,5,,,,,,
2014,Spring,50,25,15,5,5,,,,,,
2014,Summer,50,25,15,5,5,,,,,,
2014,Autumn,50,25,15,5,5,,,,,,
2014,Winter,50,25,15,5,5,,,,,,
2015,Spring,50,25,15,5,5,,,,,,
2015,Summer,50,25,15,5,5,,,,,,
2015,Autumn,50,25,15,5,5,,,,,,
2015,Winter,25,15,10,5,5,10,6,4,10,6,4
2016,Spring,25,15,10,5,5,10,6,4,10,6,4
2016,Autumn,25,15,10,5,5,10,6,4,10,6,4
2016,Winter,25,15,10,5,5,10,6,4,10,6,4
2017,Spring,25,15,10,5,5,10,6,4,10,6,4
2017,Autumn,25,15,10,5,5,10,6,4,10,6,4
2017,Winter,25,15,10,5,5,10,6,4,10,6,4
2018,Spring,25,15,10,5,5,10,6,4,10,6,4
