annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
16,ka1manua,1,100,100,112.9,45.0,12.9,12.9,,,
14,BeTeL,2,100,100,112.3,40.0,12.3,12.3,,,
12,Ars,3,100,100,110.6,66.0,10.6,10.6,,,
10,Deagle,4,100,100,107.1,43.0,7.1,7.1,,,
9,Ajax,5,100,100,104.5,60.0,4.5,4.5,,,
8,Gorg,6,100,99,103.4,43.0,3.4,3.4,,,
7,NewHorizons,7,100,100,99.5,72.5,-0.5,-0.5,,,
6,Dnepr,8,100,100,94.3,79.0,-5.7,-5.7,,,
5,Arsii,9,100,100,89.8,68.0,-10.2,-10.2,,,
4,stan507,10,100,100,88.8,52.0,-11.2,-11.2,,,
3,mkokorovets,11,100,100,81.4,53.0,-18.6,-18.6,,,
2,Leicester,12,100,49,44.1,30.0,-55.9,-55.9,,,
1,midlan,13,100,2,,2.0,-100.0,-100.0,,,
