annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
,Ajax,1,30,30,45.09,17.0,15.09,50.3,,11b6372c-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,BeTeL,2,31,31,40.00,9.0,9.00,29.0,,0ca7046d-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,Gorg,3,54,54,60.19,21.0,6.19,11.5,,12b31bfb-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,Ars,4,70,70,74.41,47.0,4.41,6.3,,15053f93-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,ka1manua,5,39,39,40.45,14.0,1.45,3.7,,10cdadf5-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,stan507,6,47,47,44.98,22.0,-2.02,-4.3,,0f9994d6-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,Arsii,7,47,47,43.23,31.0,-3.77,-8.0,,10912e61-e385-11e8-a9e2-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,Leicester,8,36,36,31.4,21.0,-4.60,-12.8,,54c2cefb-5199-11f1-a6f3-000017024a87,56173d51-519e-11f1-a6f3-000017024a87,
,NewHorizons,9,57,57,41.00,42.0,-16.00,-28.1,,09d7d5d1-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
,Dnepr,10,40,40,17.35,31.0,-22.65,-56.6,,1647bf56-c909-11e8-8022-74852a015562,56173d51-519e-11f1-a6f3-000017024a87,
