annual_points,nickname,place,final_bets_count,orig_bets_count,won,lost,units,roi,id,user_id,contest_id,active_days
13,Ars,1,100,100,136.7,44.0,36.7,36.7,,,
11,Ajax,2,100,100,135.8,59.0,35.8,35.8,,,
9,Dnepr,3,100,100,128.8,65.0,28.8,28.8,,,
7,ka1manua,4,100,100,107.9,47.0,7.9,7.9,,,
6,Arsii,5,100,99,106.4,63.0,6.4,6.4,,,
5,BeTeL,6,100,100,101.1,64.0,1.1,1.1,,,
4,stan507,7,100,100,99.2,58.0,-0.8,-0.8,,,
3,CapUA,8,100,100,98.0,66.0,-2.0,-2.0,,,
2,gorgUA,9,100,99,96.0,65.0,-4.0,-4.0,,,
1,Deagle,10,100,75,64.3,38.0,-35.7,-35.7,,,
