year,season,monthly_included,entrance_fee,s1st,s2nd,s3rd,streak,odds,1m1st,1m2nd,1m3rd,2m1st,2m2nd,2m3rd
2012,Autumn,no,50,Stan,BeTeL,Deagle,BeTeL,Cap,,,,,,
2013,Spring,no,100,Ajax,Stan,Zaur,Cap,Dnepr,,,,,,
2013,Autumn,no,100,Ka1man,BeTeL,Stan,BeTeL,Cap,,,,,,
2013,Winter,no,100,BeTeL,Ajax,Stan,Stan,Ajax,,,,,,
2014,Spring,no,100,Ajax,Zaur,Cap,Deagle,Ajax,,,,,,
2014,Summer,no,100,Ajax,Ka1man,Deagle,Deagle,BeTeL,,,,,,
2014,Autumn,no,100,Ka1man,Cap,Stan,Cap,BeTeL,,,,,,
2014,Winter,no,100,Cap,Deagle,Stan,Stan,Ajax,,,,,,
2015,Spring,no,100,BeTeL,Stan,Ajax,Ka1man,Ajax,,,,,,
2015,Summer,no,100,Dimka,Deagle,Stan,Deagle,Ajax-Ka1man-Deagle,,,,,,
2015,Autumn,no,200,Zaur,Gorg,Deagle,Ka1man,Ajax,,,,,,
2015,Winter,yes,200,Deagle,Ajax,Stan,Deagle,Ajax,Cap,BeTeL,Stan,Ajax,Cap,Deagle
2016,Spring,yes,200,Ka1man,BeTeL,Ars,BeTeL,Ajax,Ajax,BeTeL,Gorg,Dnepr,Cap,Ars
2016,Autumn,yes,200,Dnepr,Zaur,BeTeL,Gorg,Cap,Ajax,Gorg,Dnepr,Zaur,BeTeL,Stan
2016,Winter,yes,200,Stan,Ajax,Gorg,Deagle,Ajax-BeTeL-Stan,Ajax,Cap,BeTeL,Dnepr,Stan,Deagle
2017,Spring,yes,200,Zaur,Cap,Ars,BeTeL,Zaur,Zaur,Ajax,Ars,Stan,Cap,Zaur
2017,Autumn,yes,200,Ars,Ajax,Dnepr,Ars,Ajax,Ars,Zaur,Cap,Ajax,BeTeL,Ars
2017,Winter,yes,200,Ka1man,Ars,Zaur,Ka1man,Zaur,Dnepr,Cap,Stan,BeTeL,Ars,Zaur
2018,Spring,yes,200,Gorg,Ajax,RMA,Stan,Gorg,Gorg,Deagle,BeTeL,Gorg,Ajax,RMA
