csv_nickname,db_user_id,db_nickname
Ajax-II,11b6372c-c909-11e8-8022-74852a015562,Ajax
AjaxSpring,11b6372c-c909-11e8-8022-74852a015562,Ajax
AlegriA,09d7d5d1-c909-11e8-8022-74852a015562,Cap4ik
arabijoni,,
Arsenal4ik,10912e61-e385-11e8-a9e2-74852a015562,Zaur
Arsii,10912e61-e385-11e8-a9e2-74852a015562,Zaur
BasDost,15053f93-c909-11e8-8022-74852a015562,ArS86
BeTeLCRiMea,0ca7046d-c909-11e8-8022-74852a015562,BeTeL
BeTeLGeuSe1366,0ca7046d-c909-11e8-8022-74852a015562,BeTeL
BeTeLGeuSeWinner,0ca7046d-c909-11e8-8022-74852a015562,BeTeL
BetTennis,0e2ae8fd-c909-11e8-8022-74852a015562,Deagle
Cap4ik88,09d7d5d1-c909-11e8-8022-74852a015562,Cap4ik
CaPoNe,09d7d5d1-c909-11e8-8022-74852a015562,Cap4ik
CapUA,09d7d5d1-c909-11e8-8022-74852a015562,Cap4ik
Ciklum,10cdadf5-c909-11e8-8022-74852a015562,ka1manua
dimka300688,,
DNIPRO,1647bf56-c909-11e8-8022-74852a015562,RMA
Dortmund,10cdadf5-c909-11e8-8022-74852a015562,ka1manua
gorgUA,12b31bfb-c909-11e8-8022-74852a015562,gorgEuro
Gunners_Fan,10912e61-e385-11e8-a9e2-74852a015562,Zaur
Ka2man,10cdadf5-c909-11e8-8022-74852a015562,ka1manua
Kanonier,10912e61-e385-11e8-a9e2-74852a015562,Zaur
Leicester,,
Mavri_Petalouda,09d7d5d1-c909-11e8-8022-74852a015562,Cap4ik
midlan,,
NewHorizons,09d7d5d1-c909-11e8-8022-74852a015562,Cap4ik
OrionLTD,0ca7046d-c909-11e8-8022-74852a015562,BeTeL
Stan87,0f9994d6-c909-11e8-8022-74852a015562,stan507
Vetan,10912e61-e385-11e8-a9e2-74852a015562,Zaur
Vokoua,10cdadf5-c909-11e8-8022-74852a015562,ka1manua
zuzik,10912e61-e385-11e8-a9e2-74852a015562,Zaur
