"place","nickname","profit","offset","saldo"
1,BeTeLGeuSe,1048,155.09,1203.09
2,Zidan98,1095,-575.00,520.00
3,Mishazakopajlo,442,0.00,442.00
4,DavidsKV,-68,151.09,83.09
5,ka1manua,-1228,1228.00,0.00
6,stan507,-551,551.00,0.00
7,gorgEuro,-798,790.00,-8.00
8,Gerrard8080,-823,815.00,-8.00
9,Dnepr,1392,-1510.91,-118.91
10,JovtoBlakutni,-1672,1438.55,-233.45
11,Deagle,118,-505.00,-387.00
12,mkokorovets,-415,0.00,-415.00
13,Sayda,-798,331.09,-466.91
14,Ars,1210,-1676.91,-466.91
15,Cap4ik,855,-1727.00,-872.00
16,Ajax,-1408,536.00,-872.00
17,arabijoni,,,0
18,dimka300688,,,0
19,Leicester,,,0
20,midlan,,,0
